Data,is offensive,
"{'Character': 'Charles', 'Episode': 'Full Boyle', 'QuoteText': 'Charles: Sexy train is leaving the station. Check out this caboose. Later, sluts.'}",NO,
"{'Character': 'Hitchcock', 'Episode': 'Hitchcock & Scully', 'QuoteText': ""Captain Holt: Are you guys okay? Did you get hit?  Scully: No. It hit the tub, but the bullet didn't make it through.  Jake: The slut sauce it saved you.  Hitchcock: You bet your nips it did, skid mark.  Jake: Oh, Hitchcock. You suck, man.""}",NO,
"{'Character': 'Captain Holt', 'Episode': 'Honeymoon', 'QuoteText': 'Jake: Yeah, and your new shirt is very aggressive and confusing. Is the pineapple the slut, or is it calling someone else a slut?  Captain Holt: Clearly the pineapple is the slut.  Jake: Huh.'}",NO,
"{'Character': 'Jake', 'Episode': 'Two Turkeys', 'QuoteText': ""Jake: Now then, on the other side, we have the Peraltas: Karen and Roger. They are perfectly normal, no known flaws. All right, fine. My dad's a selfish drunken slut and my mom's a flighty weirdo.""}",YES,Q
"{'Character': 'Charles', 'Episode': 'The Slaughterhouse', 'QuoteText': 'Charles: Guys, why are you fighting? You\'re best friends.  Hitchcock: Every Sunday after church, Scully and I have dinner together at Wing Sluts.  Charles: We know. You get ribs and White Russians and watch ""Undercover Boss.""'}",NO,
"{'Character': 'Rosa', 'Episode': 'Trying', 'QuoteText': ""Charles: And this is the last one. We've rounded up all the guinea pigs.  Sergeant Jeffords: Not even close. Guinea pig. Guinea pig. Guinea pig. Guinea pig. What were you thinking, breeding guinea pigs at work?  Charles: We weren't breeding them on purpose. They're just very sexual creatures, and we didn't want to slut-shame them.  Rosa: Yeah. Sorry you're not more sex-positive, Terry.""}",NO,
"{'Character': 'Hitchcock', 'Episode': 'Hitchcock & Scully', 'QuoteText': ""Captain Holt: Are you guys okay? Did you get hit?  Scully: No. It hit the tub, but the bullet didn't make it through.  Jake: The slut sauce it saved you.  Hitchcock: You bet your nips it did, skid mark.  Jake: Oh, Hitchcock. You suck, man.""}",NO,
"{'Character': 'Hitchcock', 'Episode': 'Hitchcock & Scully', 'QuoteText': ""Jake: All right, here's the way I see it. We gotta break out the back entrance and get these people to the van. Okay, everyone, just follow my lead.  Scully: No, we got you into this mess. We'll get you out of it. Follow our lead.  Charles: There are armed men out there. We don't even have our bulletproof vests.  Scully: We can use the slut sauce.  Jake: That's insane. It's not even solid. The bullets will go right through it.  Scully: If you don't think the slut sauce is solid, then you might want to talk to my rock-hard arteries.  Hitchcock: We're doing this, and that's final. Scully, it's time to sauce up.""}",NO,
"{'Character': 'Captain Holt', 'Episode': 'Bureau', 'QuoteText': 'Guard: Another Sex-and-the-Citiot?  Captain Holt: Guilty as charged. My favorite season has to be the third one. Everything was going right for Carrie. Her face was on every bus, her column was the talk of the town, and she met everyone\'s favorite furniture maker, Aidan Shaw. Sure, she melted down when he tried to introduce her to his parents, and she flipped out when she bumped into Big getting out of that cab with Natasha, whom he had married. Hmm.  Who can blame her? They barely knew each other. The best episode that year was episode six, entitled ""Are We Sluts?"" You know the one. Carrie was all in her head because she and Aidan weren\'t having sex. Meanwhile, across town, Charlotte couldn\'t stop having sex.  And Samantha? Samantha was just being Samantha. The season finale that year was entitled ""Cock-a-Doodle-Do.""'}",NO,
"{'Character': 'Captain Holt', 'Episode': 'The Honeypot', 'QuoteText': ""Jake: So looks like Operation: Nasty is a full-on success, huh?  Captain Holt: You mean Operation: Nasty Sex Slut.  Jake: [murmuring]  Captain Holt: Didn't you see him flirting with me?  Jake: No, I most definitely did not.  Captain Holt: Then you're a blind man and a prude to boot. Did you see his tie? A single Windsor. The easiest knot to undo. Why bother wearing any clothes at all?  Jake: I think you badly misread that interaction.  Captain Holt: Please. He did everything but lick his lips and purr. Get rid of him, and bring me someone who can keep it in their slacks.""}",NO,
"{'Character': 'Hitchcock', 'Episode': 'Hitchcock & Scully', 'QuoteText': ""Charles: So you did take the cash. You just didn't keep it. You gave it to her.  Scully: We come down here and check on her periodically.  Hitchcock: Yeah, we never spoke, but if she put an extra wing in our slut bucket, it meant everything was okay.  Charles: Wait, so I was right. Hitchcock and Scully are good people.  Hitchcock: You bet your nips we are, skid mark.""}",NO,
"{'Character': 'Charles', 'Episode': 'The Slaughterhouse', 'QuoteText': 'Charles: Guys, why are you fighting? You\'re best friends.  Hitchcock: Every Sunday after church, Scully and I have dinner together at Wing Sluts.  Charles: We know. You get ribs and White Russians and watch ""Undercover Boss.""'}",NO,
