season,episode,is offensive,comment
1,10,NO,
1,18,YES,"not offinsive for fats, but offinsive for womens"
2,3,YES,REF
2,7,YES,
2,10,YES,"not offinsive for fats, but offinsive for womens"
2,23,YES,
3,3,NO,is the oppsite of offnsive
3,8,YES,
3,9,NO,
3,14,YES,
3,21,NO,
3,25,NO,
4,1,NO,
4,12,NO,
4,16,NO,
4,21,NO,
5,6,YES,
5,8,YES,
5,22,YES,
6,10,YES,REF
6,15,YES,thre is 4 times that refer to fat Monika as insult and 1 time low fat mayyo but in general is offinsive
7,1,YES,
7,3,NO,
7,6,NO,goof opp ref
8,17,NO,
8,23,YES,
9,5,NO,
9,7,NO,
9,8,NO,
9,10,YES,
9,12,NO,
9,14,NO,
9,19,YES,
10,5,YES,
10,10,YES,
10,11,YES,
10,16,YES,
