season,episode,is offensive
01,01,
01,02,
01,04,
01,05,
01,06,
01,08,
01,09,
01,10,
01,11,
01,13,
01,16,
01,17,
01,18,
01,19,
01,23,
01,24,
02,02,
02,03,
02,06,
02,07,
02,08,
02,09,
02,10,
02,11,
02,12,
02,14,
02,21,
02,22,
02,23,
03,01,
03,02,
03,03,
03,04,
03,05,
03,07,
03,08,
03,09,
03,14,
03,18,
03,19,
03,20,
03,21,
03,25,
04,01,
04,02,
04,03,
04,05,
04,08,
04,09,
04,10,
04,12,
04,16,
04,21,
04,22,
04,23,
05,03,
05,04,
05,05,
05,06,
05,08,
05,12,
05,13,
05,14,
05,15,
05,18,
05,19,
05,22,
05,23,
06,01,
06,06,
06,09,
06,10,
06,15,
06,21,
06,22,
06,24,
07,01,
07,02,
07,03,
07,06,
07,12,
07,13,
07,14,
07,16,
07,21,
07,22,
07,23,
08,01,
08,02,
08,03,
08,04,
08,05,
08,08,
08,09,
08,10,
08,14,
08,15,
08,16,
08,17,
08,20,
08,21,
08,23,
09,05,
09,06,
09,07,
09,08,
09,10,
09,12,
09,13,
09,14,
09,16,
09,19,
09,20,
09,21,
10,02,
10,04,
10,05,
10,10,
10,11,
10,12,
10,13,
10,16,
