season,episode,is offensive,comment
1,8,YES,
1,20,NO,
2,3,YES,
2,4,YES,"4 out of 5 times are offinsve, but they are reffrer to the same subject therfore we decided that all of them offnsives"
2,7,NO,
3,6,YES,
3,7,YES,
3,13,YES,
4,4,YES,
4,8,NO,
4,10,YES,
4,18,YES,"sentence that includes ""being gay"" is most likely to be offensive"
5,5,YES,
5,8,YES,
5,9,YES,
5,10,YES,
5,20,YES,
6,5,NO,
6,9,NO,
6,14,YES,
6,15,YES,
6,22,YES,
7,1,YES,
7,4,NO,
7,15,NO,
7,16,YES,
7,22,YES,
8,1,NO,
8,9,NO,
8,12,NO,
8,19,YES,
8,23,NO,
9,2,YES,
9,6,YES,
9,13,YES,
9,17,NO,
9,19,YES,
9,22,YES,REF
9,23,NO,
10,7,NO,
10,11,YES,
