season,episode,is offensive,comment
1,1,NO,
1,2,YES,
1,3,NO,
1,4,NO,
1,5,YES,
1,6,NO,
1,9,NO,
1,10,NO,
1,11,NO,
1,13,YES,REF
1,15,NO,
1,16,NO,
1,17,NO,
1,18,NO,
1,19,NO,
1,21,YES,
1,24,NO,
2,1,NO,
2,2,YES,
2,3,YES,
2,5,YES,
2,6,NO,
2,8,NO,
2,9,NO,
2,11,YES,
2,12,NO,
2,14,YES,
2,15,YES,
2,16,NO,
2,18,NO,
2,19,,
2,20,,
2,21,,
2,22,,
2,23,,
2,24,,
3,1,,
3,2,,
3,3,,
3,4,,
3,5,,
3,6,,
3,8,,
3,9,,
3,10,,
3,11,,
3,12,,
3,13,,
3,14,,
3,15,,
3,16,,
3,17,,
3,18,,
3,21,,
3,22,,
3,23,,
3,24,,
3,25,,
4,1,,
4,2,,
4,4,,
4,5,,
4,6,,
4,7,,
4,8,,
4,9,,
4,10,,
4,11,,
4,12,,
4,13,,
4,14,,
4,16,,
4,18,,
4,19,,
4,20,,
4,21,,
4,22,,
4,23,,
5,1,,
5,2,,
5,3,,
5,4,,
5,5,,
5,6,,
5,7,,
5,8,,
5,9,,
5,10,,
5,11,,
5,12,,
5,13,,
5,15,,
5,16,,
5,17,,
5,18,,
5,19,,
5,21,,
5,22,,
6,1,,
6,2,,
6,3,,
6,5,,
6,6,,
6,7,,
6,8,,
6,9,,
6,10,,
6,11,,
6,12,,
6,13,,
6,14,,
6,15,,
6,17,,
6,18,,
6,19,,
6,20,,
6,21,,
6,22,,
6,23,,
6,24,,
7,2,,
7,3,,
7,4,,
7,5,,
7,6,,
7,7,,
7,8,,
7,9,,
7,11,,
7,13,,
7,14,,
7,15,,
7,16,,
7,17,,
7,18,,
7,19,,
7,20,,
7,21,,
7,22,,
7,23,,
8,1,,
8,2,,
8,3,,
8,4,,
8,6,,
8,7,,
8,8,,
8,9,,
8,10,,
8,11,,
8,12,,
8,13,,
8,14,,
8,15,,
8,16,,
8,17,,
8,18,,
8,19,,
8,20,,
8,21,,
8,22,,
8,23,,
9,2,,
9,3,,
9,4,,
9,5,,
9,6,,
9,7,,
9,8,,
9,9,,
9,10,,
9,11,,
9,12,,
9,13,,
9,14,,
9,15,,
9,16,,
9,17,,
9,18,,
9,19,,
9,20,,
9,21,,
9,22,,
9,23,,
10,1,,
10,2,,
10,3,,
10,4,,
10,5,,
10,6,,
10,7,,
10,8,,
10,9,,
10,10,,
10,11,,
10,12,,
10,13,,
10,14,,
10,16,,
10,17,,
