season,episode,is offensive
01,01,
01,02,
01,04,
01,05,
01,06,
01,07,
01,11,
01,13,
01,14,
01,16,
01,17,
01,18,
01,19,
01,21,
01,22,
01,23,
02,01,
02,03,
02,04,
02,06,
02,08,
02,11,
02,12,
02,16,
02,18,
02,19,
02,20,
02,22,
02,24,
03,01,
03,03,
03,04,
03,09,
03,11,
03,12,
03,13,
03,16,
03,18,
03,20,
03,21,
04,07,
04,09,
04,13,
04,14,
04,15,
04,17,
04,18,
04,20,
04,22,
05,01,
05,02,
05,03,
05,07,
05,10,
05,13,
05,16,
05,19,
06,02,
06,03,
06,05,
06,07,
06,08,
06,09,
06,12,
06,13,
06,15,
06,17,
06,19,
06,21,
07,02,
07,03,
07,04,
07,05,
07,12,
07,15,
07,16,
07,17,
07,18,
07,19,
07,22,
08,01,
08,03,
08,07,
08,11,
08,14,
08,16,
08,19,
08,20,
08,22,
08,23,
09,04,
09,06,
09,07,
09,09,
09,10,
09,11,
09,12,
09,13,
09,14,
09,16,
09,21,
10,01,
10,04,
10,07,
